Title,Title_URL,Image,counterowl,bags,Date,Price,displayflex,Info,Info1,limitline
"
						Chính chủ bán nhà gấp đường Bạch Đằng quận Tân Bình
					",https://nhadatvui.vn/ban-nha-rieng-phuong-2-quan-tan-binh/chinh-chu-ban-nha-gap-duong-bach-dang-quan-tan-binh1655454449,https://file.maumau.vn/public/nhadatvui/uploads/images/a6328aa3962e1e92debe14640a544f23.jpg,8,Bán,17/6/2022,1.35 tỷ,52 m² ,2,2,"
							Bạch Đằng, Phường 2, Quận Tân Bình, Hồ Chí Minh
						"
"
						Bán nhanh nhà Lê Minh Xuân, 4 x 11.5m, 2 lầu, 5.8 Tỷ, Tân Bình
					",https://nhadatvui.vn/ban-nha-rieng-phuong-7-quan-tan-binh/ban-nhanh-nha-le-minh-xuan-4-x-11-5m-2-lau-5-8-ty-tan-binh1655454437,https://file.maumau.vn/public/nhadatvui/uploads/images/41aeaacfafd8517c7a4b34372a063ff9.jpg,4,Bán,17/6/2022,5.8 tỷ,46 m² ,,,"
							Lê Minh Xuân, Phường 7, Quận Tân Bình, Hồ Chí Minh
						"
"
						Cần bán gấp nhà đẹp 3 lầu KDC VIP gần Phạm Văn Đông Linh Trung vừa ở vừa làm VP giá tốt
					",https://nhadatvui.vn/ban-nha-rieng-phuong-linh-trung-tp-thu-duc/can-ban-gap-nha-dep-3-lau-kdc-vip-gan-pham-van-dong-linh-trung-vua-o-vua-lam-vp-gia-tot1655454218,https://file.maumau.vn/public/nhadatvui/uploads/images/1a52ee0489639e441e672073f725e558.jpg,4,Bán,17/6/2022,7.65 tỷ,54 m² ,4,4,"
							Kha Vạn Cân, Phường Linh Trung, Tp. Thủ Đức, Hồ Chí Minh
						"
"
						Cần tiền bán gấp nhà mới xây cực hiếm nơi đây giá rẻ nhất trung tâm quận Ngũ Hành Sơn
					",https://nhadatvui.vn/ban-nha-rieng-phuong-khue-my-quan-ngu-hanh-son/can-tien-ban-gap-nha-moi-xay-cuc-hiem-noi-day-gia-re-nhat-trung-tam-quan-ngu-hanh-son1655454062,https://file.maumau.vn/public/nhadatvui/uploads/images/c2b891cfa480aafd3f49f258678b940d.jpg,3,Bán,17/6/2022,1.5 tỷ,70 m² ,,,"
							Bùi Tá Hán, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng
						"
"
						Nhà trung tâm Linh Chiểu HXH 5m ngay ĐH Ngân Hàng sát Hoàng Diệu 2 vừa ở vừa sẵn thu nhập 40tr/tháng giá tốt
					",https://nhadatvui.vn/ban-nha-rieng-phuong-linh-chieu-tp-thu-duc/nha-trung-tam-linh-chieu-hxh-5m-ngay-dh-ngan-hang-sat-hoang-dieu-2-vua-o-vua-san-thu-nhap-40tr-thang-gia-tot1655453960,https://file.maumau.vn/public/nhadatvui/uploads/images/35be9e3e60bb4839a919997f60b22f24.jpg,13,Bán,17/6/2022,21.5 tỷ,390 m² ,4,3,"
							Đường số 16, Phường Linh Chiểu, Tp. Thủ Đức, Hồ Chí Minh
						"
"
						Ở đây có nhà đẹp phố Đội Cấn, Ba Đình chỉ 2,5 tỷ
					",https://nhadatvui.vn/ban-nha-rieng-phuong-doi-can-quan-ba-dinh/o-day-co-nha-dep-pho-doi-can-ba-dinh-chi-2-5-ty1655453881,https://file.maumau.vn/public/nhadatvui/uploads/images/84e49e2262d4c17c12f069a5d7f08658.jpg,3,Bán,17/6/2022,2.5 tỷ,20 m² ,2,2,"
							Phố Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội
						"
"
						Chính chủ cần bán nhà ngay An Dương Vương liền Võ Văn Kiệt Bình Tân
					",https://nhadatvui.vn/ban-nha-rieng-phuong-an-lac-quan-binh-tan/chinh-chu-can-ban-nha-ngay-an-duong-vuong-lien-vo-van-kiet-binh-tan1655453027,https://file.maumau.vn/public/nhadatvui/uploads/images/6b4a2e207415c87d02aedac6b8543672.jpg,5,Bán,17/6/2022,7.83 tỷ,54 m² ,4,5,"
							An Dương Vương, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh
						"
"
						Bán nhanh Nhà Đào Duy Anh, 4 x 11.5m, 2 lầu, 5.8 Tỷ, Bình Thạnh
					",https://nhadatvui.vn/ban-nha-rieng-phuong-9-quan-phu-nhuan/ban-nhanh-nha-dao-duy-anh-4-x-11-5m-2-lau-5-8-ty-binh-thanh1655452879,https://file.maumau.vn/public/nhadatvui/uploads/images/b31cb18531fef7de7aa784c2f68f2fa4.jpg,4,Bán,17/6/2022,5.8 tỷ,46 m² ,,,"
							Đào Duy Anh, Phường 9, Quận Phú Nhuận, Hồ Chí Minh
						"
"
						Giảm 310 triệu nhà trung tâm đường Hoàng Diệu 2 Linh Trung HXH 8M ngang 6.2m
					",https://nhadatvui.vn/ban-nha-rieng-phuong-linh-trung-tp-thu-duc/giam-310-trieu-nha-trung-tam-duong-hoang-dieu-2-linh-trung-hxh-8m-ngang-6-2m1655451864,https://file.maumau.vn/public/nhadatvui/uploads/images/c6d5b615bd2bf8d5a313e8ef4eaa3e28.jpg,3,Bán,17/6/2022,9.8 tỷ,114.40 m² ,2,1,"
							Hoàng Diệu 2, Phường Linh Trung, Tp. Thủ Đức, Hồ Chí Minh
						"
"
						Siêu phẩm 3 nhà tầng mặt tiền KQH Bầu Vá hoàn thiện full nội thất
					",https://nhadatvui.vn/ban-nha-rieng-phuong-phuong-duc-tp-hue/-sieu-pham-nha-3-tang-mat-tien-kqh-bau-va-hoan-thien-full-noi-that1655451848,https://file.maumau.vn/public/nhadatvui/uploads/images/4a306d052ac99a334f5446d868ffbb55.jpg,5,Bán,17/6/2022,5.6 tỷ,116 m² ,4,3,"
							Bùi Thị Xuân , Phường Phường Đúc, Tp. Huế, Thừa Thiên Huế
						"
"
						Cực hiếm Trần Thái Tông, lô góc 35m2 3 mặt thoáng, phố sầm uất, dân trí cao, an ninh tốt, nhanh là còn
					",https://nhadatvui.vn/ban-nha-rieng-phuong-dich-vong-quan-cau-giay/cuc-hiem-tran-thai-tong-lo-goc-35m2-3-mat-thoang-pho-sam-uat-dan-tri-cao-an-ninh-tot-nhanh-la-con1655451558,https://file.maumau.vn/public/nhadatvui/uploads/images/a291defb45c87f4615bb74ea749c3603.jpg,3,Bán,17/6/2022,4.5 tỷ,35 m² ,4,3,"
							Ngõ 44 Trần Thái Tông, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội
						"
"
						Bán nhanh Nhà Nguyễn Văn Đậu, 4 x 11.5m, 2 lầu, chỉ 5.8 Tỷ BT
					",https://nhadatvui.vn/ban-nha-rieng-phuong-11-quan-binh-thanh/ban-nhanh-nha-nguyen-van-dau-4-x-11-5m-2-lau-chi-5-8-ty-bt1655450712,https://file.maumau.vn/public/nhadatvui/uploads/images/18e4de6d3d941a19ee2fca51897a09ab.jpg,3,Bán,17/6/2022,5.8 tỷ,46 m² ,,,"
							Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, Hồ Chí Minh
						"
"
						Siêu phẩm Đặng Thùy Trâm 4x12m2 giá tốt.
					",https://nhadatvui.vn/ban-nha-rieng-phuong-13-quan-binh-thanh/sieu-pham-dang-thuy-tram-4x12m2-gia-tot-1655449962,https://file.maumau.vn/public/nhadatvui/uploads/images/ec52993fa3714ac00283671b4f492aed.jpg,5,Bán,17/6/2022,8.4 tỷ,48 m² ,4,3,"
							Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, Hồ Chí Minh
						"
"
						Hẻm 9m Hai Bà Trưng, 9PN, gần chợ Tân Định, giá tốt
					",https://nhadatvui.vn/ban-nha-rieng-phuong-vo-thi-sau-quan-3/hem-9m-hai-ba-trung-9pn-gan-cho-tan-dinh-gia-tot1655448810,https://file.maumau.vn/public/nhadatvui/uploads/images/ef94c43444454c736648fe5d0cffd60f.jpg,3,Bán,17/6/2022,12.99 tỷ,60 m² ,,,"
							Đường Hai Bà Trưng, Phường 8, Quận 3, Hồ Chí Minh
						"
"
						Bán nhà đường Thích Quảng Đức, cách ngã tư Tân Lập 500m, TP. Thủ Dầu Một, BD
					",https://nhadatvui.vn/ban-nha-rieng-phuong-chanh-nghia-tp-thu-dau-mot/ban-nha-duong-thich-quang-duc-cach-nga-tu-tan-lap-500m-tp-thu-dau-mot-bd1655448688,https://file.maumau.vn/public/nhadatvui/uploads/images/e80823041a84331e8f32974c000e8b89.jpg,6,Bán,17/6/2022,7.5 tỷ,98 m² ,Đ.Bắc,,"
							Thích Quảng Đức, Phường Chánh Nghĩa, Tp. Thủ Dầu Một, Bình Dương
						"
"
						Kẹt tiền cần bán nhà gấp, từ nhà đến KĐT Phú Cường, Chợ Rạch Sỏi, bến xe, bệnh viện tỉnh,... chưa đến 5 phút
					",https://nhadatvui.vn/ban-nha-rieng-phuong-an-binh-tp-rach-gia/ket-tien-can-ban-nha-gap-tu-nha-den-kdt-phu-cuong-cho-rach-soi-ben-xe-benh-vien-tinh-chua-den-5-phut1655448303,https://file.maumau.vn/public/nhadatvui/uploads/images/0224b4f4abea997adebaa4e2fefd39aa.jpg,3,Bán,17/6/2022,850 triệu,75 m² ,2,1,"
							Trương Định, Phường An Bình, Tp. Rạch Giá, Kiên Giang
						"
"
						Cần bán nhanh, Chu Văn An, 3.7 x 10.2m, 4 tỷ 800, Bình Thạnh P12.
					",https://nhadatvui.vn/ban-nha-rieng-phuong-12-quan-binh-thanh/can-ban-nhanh-chu-van-an-3-7-x-10-2m-4-ty-800-binh-thanh-p12-1655447569,https://file.maumau.vn/public/nhadatvui/uploads/images/cb92d541a53f01b9fba966fa974cf90c.jpg,4,Bán,17/6/2022,4.8 tỷ,37 m² ,,,"
							Chu Văn An, Phường 12, Quận Bình Thạnh, Hồ Chí Minh
						"
"
						Bán nhà Lê Trọng Tấn, 3.5 x 11m, 2 lầu, chỉ 4 tỷ 200, Tân Phú
					",https://nhadatvui.vn/ban-nha-rieng-phuong-tay-thanh-quan-tan-phu/ban-nha-le-trong-tan-3-5-x-11m-2-lau-chi-4-ty-200-tan-phu1655445778,https://file.maumau.vn/public/nhadatvui/uploads/images/6da53a1da1fae3191adac909a0800095.jpg,4,Bán,17/6/2022,4.2 tỷ,38 m² ,,,"
							Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh
						"
"
						Nhà Huỳnh Đình Hai, 4.2 x 11.5m, 2 lầu, 5 Tỷ 600, P.14 Bình Thạnh
					",https://nhadatvui.vn/ban-nha-rieng-phuong-14-quan-binh-thanh/nha-huynh-dinh-hai-4-2-x-11-5m-2-lau-5-ty-600-p-14-binh-thanh1655443887,https://file.maumau.vn/public/nhadatvui/uploads/images/05f031019a7e25c08528ed655e9619c4.jpg,3,Bán,17/6/2022,5.6 tỷ,46 m² ,,,"
							Huỳnh Đình Hai, Phường 14, Quận Bình Thạnh, Hồ Chí Minh
						"
"
						Siêu phẩm quận Hai Bà Trưng ngõ thông rộng, oto vào nhà kinh doanh đỉnh, nhà mới.
					",https://nhadatvui.vn/ban-nha-rieng-phuong-minh-khai-quan-hai-ba-trung/sieu-pham-quan-hai-ba-trung-ngo-thong-rong-oto-vao-nha-kinh-doanh-dinh-nha-moi-1655443818,https://file.maumau.vn/public/nhadatvui/uploads/images/e77d80b040f9fb4ac1ef0d44b8058c62.jpg,6,Bán,17/6/2022,7.8 tỷ,52 m² ,5,4,"
							Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội
						"
"
						Bán nhà Phú Lương, Hà Đông 42m2, 4T, giá 2.9 tỷ
					",https://nhadatvui.vn/ban-nha-rieng-phuong-phu-luong-quan-ha-dong/ban-nha-phu-luong-ha-dong-42m2-4t-gia-2-9-ty1655442306,https://file.maumau.vn/public/nhadatvui/uploads/images/d3b714d026e661b534d6e9b936503f7e.jpg,3,Bán,17/6/2022,2.9 tỷ,42 m² ,4,,"
							Đường Phú Lương, Phường Phú Lương, Quận Hà Đông, Hà Nội
						"
"
						Bán nhanh nhà Chế Lan Viên, 3.2 x 10m, 2 lầu, chỉ 3.1 tỷ, Tân Phú
					",https://nhadatvui.vn/ban-nha-rieng-phuong-tay-thanh-quan-tan-phu/ban-nhanh-nha-che-lan-vien-3-2-x-10m-2-lau-chi-3-1-ty-tan-phu1655442262,https://file.maumau.vn/public/nhadatvui/uploads/images/f54cc48fd6a463860e80215d199e3f7a.jpg,3,Bán,17/6/2022,3.1 tỷ,33 m² ,,,"
							Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh
						"
"
						Bán nhà Nguyễn Văn Lộc, Hà Đông 42m2 x 5T, giá 4.5 tỷ
					",https://nhadatvui.vn/ban-nha-rieng-phuong-mo-lao-quan-ha-dong/ban-nha-nguyen-van-loc-ha-dong-42m2-x-5t-gia-4-5-ty1655438909,https://file.maumau.vn/public/nhadatvui/uploads/images/bb27d5ef4f1ce920497220df30337952.jpg,3,Bán,17/6/2022,4.5 tỷ,42 m² ,4,,"
							Nguyễn Văn Lộc, Phường Mộ Lao, Quận Hà Đông, Hà Nội
						"
"
						Nhà đẹp lô góc ở Chính Kinh, sát ô tô, cách 5 nhà ra phố
					",https://nhadatvui.vn/ban-nha-rieng-phuong-nhan-chinh-quan-thanh-xuan/nha-dep-lo-goc-o-chinh-kinh-sat-o-to-cach-5-nha-ra-pho1655438717,https://file.maumau.vn/public/nhadatvui/uploads/images/749fd5b437c6c9ede36397b67b1251cb.jpg,3,Bán,17/6/2022,6.8 tỷ,37 m² ,,,"
							Phố Chính Kinh, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội
						"
"
						Cần bán nhanh Phan Văn Trị, 3.5 x 15.5, 2 lầu, 5.4 tỷ, Bình Thạnh
					",https://nhadatvui.vn/ban-nha-rieng-phuong-11-quan-binh-thanh/can-ban-nhanh-phan-van-tri-3-5-x-15-5-2-lau-5-4-ty-binh-thanh1655437719,https://file.maumau.vn/public/nhadatvui/uploads/images/07808ffebd77aeaff7b4323b82b574e2.jpg,3,Bán,17/6/2022,5.4 tỷ,40 m² ,,,"
							Phan Văn Trị, Phường 11, Quận Bình Thạnh, Hồ Chí Minh
						"
"
						Nhà siêu đẹp phố Vương Thừa Vũ, ngõ thoáng 3 gác phóng rộng thênh thang
					",https://nhadatvui.vn/ban-nha-rieng-phuong-khuong-trung-quan-thanh-xuan/nha-sieu-dep-pho-vuong-thua-vu-ngo-thoang-3-gac-phong-rong-thenh-thang1655437379,https://file.maumau.vn/public/nhadatvui/uploads/images/09f820285e975698227fd0576813b661.jpg,3,Bán,17/6/2022,6.1 tỷ,37 m² ,,,"
							Phố Vương Thừa Vũ, Phường Khương Trung, Quận Thanh Xuân, Hà Nội
						"
"
						Nhà lầu sát bờ kè, Hòa Bình, Biên Hòa, 44m2, giá 1 tỷ 550.
					",https://nhadatvui.vn/ban-nha-rieng-phuong-hoa-binh-tp-bien-hoa/nha-lau-sat-bo-ke-hoa-binh-bien-hoa-44m2-gia-1-ty-550-1655437188,https://file.maumau.vn/public/nhadatvui/uploads/images/0174e0b1dc90265e7352a8bf77664f2a.jpg,5,Bán,17/6/2022,1.55 tỷ,44 m² ,1,1,"
							Đường Nguyễn Văn Trị, Phường Hòa Bình, Tp. Biên Hòa, Đồng Nai
						"
"
						Bán nhanh nhà Long Bình Tân 3 phòng ngủ 3 nhà vệ sinh tặng full nội thất
					",https://nhadatvui.vn/ban-nha-rieng-phuong-long-binh-tan-tp-bien-hoa/ban-nhanh-nha-long-binh-tan-3-phong-ngu-3-nha-ve-sinh-tang-full-noi-that1655434726,https://file.maumau.vn/public/nhadatvui/uploads/images/e5b53a39b8d14530d9eb5911fae58372.jpg,5,Bán,17/6/2022,4.95 tỷ,84.30 m² ,3,3,"
							Đường Nguyễn Văn Tỏ, Phường Long Bình Tân, Tp. Biên Hòa, Đồng Nai
						"
"
						Bán nhà mới hoàn thiện đường số 6 Linh Xuân Thủ Đức DT 200m.
					",https://nhadatvui.vn/ban-nha-rieng-phuong-linh-xuan-tp-thu-duc/ban-nha-moi-hoan-thien-duong-so-6-linh-xuan-thu-duc-dt-200m-1655433031,https://file.maumau.vn/public/nhadatvui/uploads/images/9b99591705a5f8a10f7e603b918bdd88.jpg,7,Bán,17/6/2022,5.75 tỷ,200 m² ,4,3,"
							131/46 đường số 6, Phường Linh Xuân, Tp. Thủ Đức, Hồ Chí Minh
						"
"
						Không mua nhà này là mất giá cực rẻ ngay trung tâm Ngũ Hành Sơn mà giá chỉ hơn 30 tr/m2
					",https://nhadatvui.vn/ban-nha-rieng-phuong-khue-my-quan-ngu-hanh-son/khong-mua-nha-nay-la-mat-gia-cuc-re-ngay-trung-tam-ngu-hanh-son-ma-gia-chi-hon-30-tr-m21655432670,https://file.maumau.vn/public/nhadatvui/uploads/images/82ffc8ca49557d3325475aee73a2725d.jpg,3,Bán,17/6/2022,3.3 tỷ,100 m² ,,,"
							Lê Văn Hiến, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng
						"
"
						Phan Đình Giót Hà Đông siêu giảm gía 40M2 giá 3.3 tỷ đẹp lung linh
					",https://nhadatvui.vn/ban-nha-rieng-phuong-la-khe-quan-ha-dong/phan-dinh-giot-ha-dong-sieu-giam-gia-40m2-gia-3-3-ty-dep-lung-linh1655399435,https://file.maumau.vn/public/nhadatvui/uploads/images/a8b382348f8b3bd9774832b824e6eb45.jpg,4,Bán,17/6/2022,3.3 tỷ,40 m² ,4,,"
							Đường Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội
						"
"
						Bán nhà ngõ Văn Hương, Đống Đa, 54m 5T 7.5m MT, giá 6.45 tỷ
					",https://nhadatvui.vn/ban-nha-rieng-phuong-van-chuong-quan-dong-da/ban-nha-ngo-van-huong-dong-da-54m-5t-7-5m-mt-gia-6-45-ty1655398269,https://file.maumau.vn/public/nhadatvui/uploads/images/9a1188510d63deff8881071381078ddf.jpg,5,Bán,16/6/2022,6.45 tỷ,54 m² ,5,5,"
							Văn Hương, Phường Văn Chương, Quận Đống Đa, Hà Nội
						"
"
						Bán nhà tại Đường Láng, Hà Nội, 90m 5T MT5m, giá 9.5 tỷ
					",https://nhadatvui.vn/ban-nha-rieng-phuong-lang-thuong-quan-dong-da/ban-nha-tai-duong-lang-ha-noi-90m-5t-mt5m-gia-9-5-ty1655396109,https://file.maumau.vn/public/nhadatvui/uploads/images/ac0c404540c38a36e85f2c56cb91da51.jpg,6,Bán,16/6/2022,9.5 tỷ,90 m² ,5,,"
							Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
						"
"
						Bán nhanh nhà Huỳnh Mẫn Đạt, P19, 3.3 x 11.2m, 4.5 tỷ, Bình Thạnh
					",https://nhadatvui.vn/ban-nha-rieng-phuong-19-quan-binh-thanh/ban-nhanh-nha-huynh-man-dat-p19-3-3-x-11-2m-4-5-ty-binh-thanh1655391793,https://file.maumau.vn/public/nhadatvui/uploads/images/3827085f96724b9a64c90567d2132e11.jpg,4,Bán,16/6/2022,4.5 tỷ,37 m² ,,,"
							Huỳnh Mẫn Đạt, Phường 19, Quận Bình Thạnh, Hồ Chí Minh
						"
"
						Nhà trung tâm Cầu Giấy, ngõ rộng như phố, gara oto,đẹp thoáng sáng từng sen ti mét 55.2m2, 7.99tỷ
					",https://nhadatvui.vn/ban-nha-rieng-phuong-dich-vong-quan-cau-giay/nha-trung-tam-cau-giay-ngo-rong-nhu-pho-gara-oto-dep-thoang-sang-tung-sen-ti-met-55-2m2-7-99ty1655390806,https://file.maumau.vn/public/nhadatvui/uploads/images/555ac6d4760d315a8ad6257915fba954.jpg,3,Bán,16/6/2022,7.99 tỷ,55.20 m² ,5,5,"
							Phố Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội
						"
"
						Bán nhà Nguyễn Trung Trực, P5, 3.3 x 11.2m, 4 tỷ 500, Bình Thạnh
					",https://nhadatvui.vn/ban-nha-rieng-phuong-5-quan-binh-thanh/ban-nha-nguyen-trung-truc-p5-3-3-x-11-2m-4-ty-500-binh-thanh1655390096,https://file.maumau.vn/public/nhadatvui/uploads/images/7298892027283c5520277ce6f3df7aae.jpg,3,Bán,16/6/2022,4.5 tỷ,37 m² ,,,"
							Nguyễn Trung Trực, Phường 5, Quận Bình Thạnh, Hồ Chí Minh
						"
"
						Bán nhanh Đỗ Tấn Phong, 3.2 x 10m, 2 lầu, chỉ 3.1 tỷ, Phú Nhuận
					",https://nhadatvui.vn/ban-nha-rieng-phuong-9-quan-phu-nhuan/ban-nhanh-do-tan-phong-3-2-x-10m-2-lau-chi-3-1-ty-phu-nhuan1655388643,https://file.maumau.vn/public/nhadatvui/uploads/images/38e155bfdcdd44bc01d11317b426c12c.jpg,3,Bán,16/6/2022,3.1 tỷ,33 m² ,,,"
							Đỗ Tấn Phong, Phường 9, Quận Phú Nhuận, Hồ Chí Minh
						"
"
						Cần bán gấp nhà ở kiệt Nguyễn Chánh gần KCN Hòa Khánh
					",https://nhadatvui.vn/ban-nha-rieng-phuong-hoa-khanh-bac-quan-lien-chieu/can-ban-gap-nha-o-kiet-nguyen-chanh-gan-kcn-hoa-khanh1655388615,https://file.maumau.vn/public/nhadatvui/uploads/images/70831dbef9e91404eeca986c1404c495.jpg,3,Bán,16/6/2022,2.85 tỷ,92 m² ,1,1,"
							Nguyễn Chánh, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng
						"
